data,kurs średni,kurs sprzedaży
2019-01-02,3.8242,3.8548
2019-01-03,3.8343,3.8657
2019-01-04,3.8213,3.8622
2019-01-07,3.8245,3.8597
2019-01-08,3.8307,3.8631
2019-01-09,3.8282,3.8661
2019-01-10,3.8273,3.8627
2019-01-11,3.7945,3.8443
2019-01-14,3.8116,3.8413
2019-01-15,3.8111,3.8491
2019-01-16,3.8066,3.8382
2019-01-17,3.7921,3.831
2019-01-18,3.7917,3.823
2019-01-21,3.7844,3.8284
2019-01-22,3.7839,3.8226
2019-01-23,3.7817,3.8167
2019-01-24,3.8084,3.8243
2019-01-25,3.8044,3.831
2019-01-28,3.7896,3.8259
2019-01-29,3.7861,3.8254
2019-01-30,3.7725,3.8173
2019-01-31,3.7521,3.8004
2019-02-01,3.7509,3.7681
2019-02-04,3.7511,3.7892
2019-02-05,3.7519,3.7913
2019-02-06,3.768,3.795
2019-02-07,3.7814,3.8082
2019-02-08,3.7956,3.8254
2019-02-11,3.8082,3.8371
2019-02-12,3.8093,3.8485
2019-02-13,3.8031,3.835
2019-02-14,3.8182,3.8465
2019-02-15,3.8081,3.8544
2019-02-18,3.815,3.8574
2019-02-19,3.8141,3.854
2019-02-20,3.819,3.8549
2019-02-21,3.8171,3.864
2019-02-22,3.8225,3.8568
2019-02-25,3.8267,3.8602
2019-02-26,3.8145,3.8557
2019-02-27,3.8003,3.8414
2019-02-28,3.8013,3.8346
2019-03-01,3.7907,3.8356
2019-03-04,3.7856,3.8251
2019-03-05,3.794,3.8336
2019-03-06,3.7845,3.8328
2019-03-07,3.7867,3.8245
2019-03-08,3.8031,3.8376
2019-03-11,3.7902,3.8372
2019-03-12,3.7813,3.8278
2019-03-13,3.7852,3.8227
2019-03-14,3.7854,3.8182
2019-03-15,3.7863,3.8296
2019-03-18,3.7838,3.8266
2019-03-19,3.7828,3.8207
2019-03-20,3.7781,3.8197
2019-03-21,3.7849,3.8178
2019-03-22,3.8079,3.8283
2019-03-25,3.8184,3.8694
2019-03-26,3.8245,3.8615
2019-03-27,3.8373,3.8598
2019-03-28,3.8376,3.8753
2019-03-29,3.8513,3.8755
2019-04-01,3.8495,3.8866
2019-04-02,3.8412,3.8785
2019-04-03,3.8328,3.8766
2019-04-04,3.8263,3.8709
2019-04-05,3.8222,3.8653
2019-04-08,3.818,3.8599
2019-04-09,3.8069,3.8467
2019-04-10,3.7984,3.8442
2019-04-11,3.7913,3.8374
2019-04-12,3.7846,3.8265
2019-04-15,3.7698,3.8183
2019-04-16,3.7612,3.805
2019-04-17,3.7495,3.7961
2019-04-18,3.7586,3.7847
2019-04-19,3.7557,3.793
2019-04-23,3.7427,3.7933
2019-04-24,3.757,3.7821
2019-04-25,3.7781,3.8037
2019-04-26,3.7734,3.8154
2019-04-29,3.7747,3.8102
2019-04-30,3.7607,3.809
2019-05-02,3.748,3.7857
