data,kurs średni,kurs sprzedaży
2017-01-02,4.1209,4.1507
2017-01-03,4.1137,4.1595
2017-01-04,4.0978,4.1449
2017-01-05,4.0876,4.1214
2017-01-09,4.0863,4.124
2017-01-10,4.0737,4.1309
2017-01-11,4.0706,4.1145
2017-01-12,4.0791,4.121
2017-01-13,4.0753,4.1126
2017-01-16,4.0837,4.1203
2017-01-17,4.0843,4.1215
2017-01-18,4.0798,4.12
2017-01-19,4.0797,4.1199
2017-01-20,4.0705,4.1167
2017-01-23,4.0781,4.1112
2017-01-24,4.0744,4.111
2017-01-25,4.0654,4.1083
2017-01-26,4.0644,4.0982
2017-01-27,4.0609,4.1046
2017-01-30,4.0529,4.0993
2017-01-31,4.0625,4.1081
2017-02-01,4.0465,4.0971
2017-02-02,4.0307,4.0875
2017-02-03,4.0192,4.0716
2017-02-06,4.0084,4.0575
2017-02-07,4.0271,4.0554
2017-02-08,4.0521,4.0725
2017-02-09,4.0533,4.097
2017-02-10,4.0322,4.0921
2017-02-13,4.0385,4.0595
2017-02-14,4.034,4.0871
2017-02-15,4.042,4.0783
2017-02-16,4.0516,4.0835
2017-02-17,4.0711,4.097
2017-02-20,4.0564,4.11
2017-02-21,4.0561,4.0983
2017-02-22,4.0375,4.0915
2017-02-23,4.0411,4.0839
2017-02-24,4.0477,4.0772
2017-02-27,4.0474,4.0874
2017-02-28,4.0535,4.0809
2017-03-01,4.0387,4.0923
2017-03-02,4.0314,4.0746
2017-03-03,4.0413,4.0819
2017-03-06,4.029,4.0698
2017-03-07,4.021,4.068
2017-03-08,4.0296,4.0516
2017-03-09,4.0252,4.0637
2017-03-10,4.0281,4.0643
2017-03-13,4.0449,4.0623
2017-03-14,4.0366,4.0814
2017-03-15,4.031,4.0715
2017-03-16,4.032,4.0708
2017-03-17,4.0122,4.0578
2017-03-20,3.9876,4.0417
2017-03-21,3.967,4.0308
2017-03-22,4.0001,4.0148
2017-03-23,3.9922,4.0419
2017-03-24,3.9839,4.0273
2017-03-27,3.9843,4.0235
2017-03-28,3.973,4.0195
2017-03-29,3.9543,4.0062
2017-03-30,3.9538,3.9927
2017-03-31,3.9461,3.9823
2017-04-03,3.9597,3.9991
2017-04-04,3.9804,4.0118
2017-04-05,3.9684,4.0216
2017-04-06,3.9575,3.9943
2017-04-07,3.9519,3.989
2017-04-10,3.9591,3.9907
2017-04-11,3.972,4.0019
2017-04-12,3.9774,4.0058
2017-04-13,3.973,4.0163
2017-04-14,3.9724,4.0154
2017-04-18,3.9688,4.0149
2017-04-19,3.9669,4.001
2017-04-20,3.9788,4.0112
2017-04-21,3.9921,4.0194
2017-04-24,3.9267,4.0473
2017-04-25,3.9092,3.9618
2017-04-26,3.8982,3.9355
2017-04-27,3.9056,3.9444
2017-04-28,3.8951,3.9429
2017-05-02,3.8884,3.9359
2017-05-04,3.8914,3.9197
2017-05-05,3.8928,3.9318
2017-05-08,3.8734,3.9256
2017-05-09,3.8713,3.8968
